,rot,betaArmWidth,maxCorr,argRow,argCol
2083,0.15333333333333332,3.023875,207.04908724361968,493.0,955.0
2084,0.15333333333333332,3.02475,205.95158716509553,493.0,954.0
2085,0.15333333333333332,3.025625,205.95158716509553,493.0,954.0
2086,0.15333333333333332,3.0265,205.95158716509553,493.0,954.0
2087,0.15333333333333332,3.027375,205.95158716509553,493.0,954.0
2088,0.15333333333333332,3.02825,205.95158716509553,493.0,954.0
2089,0.15333333333333332,3.029125,205.95158716509553,493.0,954.0
2090,0.15333333333333332,3.03,205.95158716509553,493.0,954.0
2091,0.15699999999999997,2.995,202.11707705176448,493.0,960.0
2092,0.15699999999999997,2.995875,202.11707705176448,493.0,960.0
2093,0.15699999999999997,2.99675,202.11707705176448,493.0,960.0
2094,0.15699999999999997,2.997625,204.87252384556857,493.0,959.0
2095,0.15699999999999997,2.9985,204.87252384556857,493.0,959.0
2096,0.15699999999999997,2.999375,204.87252384556857,493.0,959.0
2097,0.15699999999999997,3.00025,204.87252384556857,493.0,959.0
2098,0.15699999999999997,3.001125,204.87252384556857,493.0,959.0
2099,0.15699999999999997,3.002,204.87252384556857,493.0,959.0
2100,0.15699999999999997,3.002875,207.8299443078964,493.0,958.0
2101,0.15699999999999997,3.00375,207.8299443078964,493.0,958.0
2102,0.15699999999999997,3.004625,207.8299443078964,493.0,958.0
2103,0.15699999999999997,3.0055,207.8299443078964,493.0,958.0
2104,0.15699999999999997,3.006375,207.8299443078964,493.0,958.0
2105,0.15699999999999997,3.00725,207.8299443078964,493.0,958.0
2106,0.15699999999999997,3.008125,209.17407153801082,493.0,957.0
2107,0.15699999999999997,3.009,209.17407153801082,493.0,957.0
2108,0.15699999999999997,3.009875,209.17407153801082,493.0,957.0
2109,0.15699999999999997,3.01075,209.17407153801082,493.0,957.0
2110,0.15699999999999997,3.011625,209.17407153801082,493.0,957.0
2111,0.15699999999999997,3.0125,209.17407153801082,493.0,957.0
2112,0.15699999999999997,3.013375,209.17407153801082,493.0,957.0
2113,0.15699999999999997,3.01425,208.61830311701036,493.0,956.0
2114,0.15699999999999997,3.015125,208.61830311701036,493.0,956.0
2115,0.15699999999999997,3.016,208.61830311701036,493.0,956.0
2116,0.15699999999999997,3.016875,208.61830311701036,493.0,956.0
2117,0.15699999999999997,3.01775,208.61830311701036,493.0,956.0
2118,0.15699999999999997,3.018625,208.61830311701036,493.0,956.0
2119,0.15699999999999997,3.0195,207.0553067285216,493.0,955.0
2120,0.15699999999999997,3.020375,207.0553067285216,493.0,955.0
2121,0.15699999999999997,3.02125,207.0553067285216,493.0,955.0
2122,0.15699999999999997,3.022125,207.0553067285216,493.0,955.0
2123,0.15699999999999997,3.023,207.0553067285216,493.0,955.0
2124,0.15699999999999997,3.023875,207.0553067285216,493.0,955.0
2125,0.15699999999999997,3.02475,205.9621438234801,493.0,954.0
2126,0.15699999999999997,3.025625,205.9621438234801,493.0,954.0
2127,0.15699999999999997,3.0265,205.9621438234801,493.0,954.0
2128,0.15699999999999997,3.027375,205.9621438234801,493.0,954.0
2129,0.15699999999999997,3.02825,205.9621438234801,493.0,954.0
2130,0.15699999999999997,3.029125,205.9621438234801,493.0,954.0
2131,0.15699999999999997,3.03,205.9621438234801,493.0,954.0
2132,0.16066666666666665,2.995,202.12805043445164,493.0,960.0
2133,0.16066666666666665,2.995875,202.12805043445164,493.0,960.0
2134,0.16066666666666665,2.99675,202.12805043445164,493.0,960.0
2135,0.16066666666666665,2.997625,204.8794464011613,493.0,959.0
